//X,Y,Z,Nx,Ny,Nz
-102.02722931,141.80903625,-69.36475372,-0.995105,0.098109,-0.011859
-101.97851563,142.01223755,-69.52675629,-0.969099,0.231932,-0.083997
-101.90990448,142.01495361,-69.98946381,-0.949347,0.240393,-0.202364
-101.93465424,142.22360229,-69.03070068,-0.954019,0.286855,0.086965
-101.44722748,140.77693176,-71.17873383,-0.819487,-0.063911,-0.569522
-101.12515259,130.79908752,-72.23525238,-0.972321,0.143624,0.184296
-101.01178741,136.89166260,-68.50452423,-0.985251,0.024199,0.169394
-101.00335693,129.56117249,-71.86748505,-0.944000,-0.246680,0.219118
-100.99229431,130.13494873,-71.40009308,-0.962678,-0.125679,0.239698
-100.86658478,138.08871460,-70.81066132,-0.882122,-0.246278,-0.401507
-100.75255585,137.83192444,-70.86373138,-0.852193,-0.264685,-0.451341
-100.98002625,132.67510986,-70.32926941,-0.997577,0.050253,0.048115
-100.94322205,142.11332703,-73.49325562,-0.979419,-0.029536,-0.199664
-100.89968109,136.21540833,-68.30719757,-0.927142,-0.198976,0.317515
-100.90985870,139.10014343,-66.93231964,-0.940116,-0.220795,0.259677
-100.89321136,143.80868530,-72.00157166,-0.944482,0.321775,-0.066439
-100.77819061,130.41368103,-75.62317657,-0.936839,-0.024284,-0.348918
-100.88849640,132.65135193,-69.58857727,-0.984994,0.043232,0.167087
-100.93228912,135.37637329,-69.63125610,-0.974518,-0.200380,-0.100812
-100.85226440,132.32339478,-69.44342041,-0.939366,-0.160446,0.303065
-100.82320404,132.72764587,-69.11885071,-0.968110,-0.118622,0.220663
-100.89367676,131.43185425,-71.64670563,-0.985677,0.154639,0.067286
-100.83523560,128.80415344,-72.55820465,-0.918050,-0.395688,0.024812
-100.75653076,133.78738403,-67.85730743,-0.986201,0.163794,-0.024054
-100.75355530,144.17736816,-72.02341461,-0.927325,0.368535,-0.065192
-100.60674286,133.47772217,-66.99179840,-0.908033,-0.336686,0.249235
-100.62830353,134.66450500,-69.13378906,-0.935364,-0.265043,0.234192
-100.59983826,132.56065369,-73.44487762,-0.934332,0.333204,-0.126482
-100.60829926,137.11370850,-70.79123688,-0.899859,-0.101530,-0.424199
-100.67496490,132.79412842,-68.46416473,-0.829817,-0.477962,0.288023
-100.68185425,138.13876343,-71.17167664,-0.854742,-0.274684,-0.440415
-100.55179596,144.44541931,-68.06987000,-0.917030,0.360312,0.170972
-100.61713409,134.49092102,-65.84046936,-0.999003,0.007172,0.044059
-100.53131104,133.82028198,-66.22292328,-0.917616,-0.333548,0.216162
-100.59565735,136.09024048,-65.97560120,-0.990416,-0.129085,0.049121
-100.58489227,135.95295715,-66.26588440,-0.991095,-0.132368,0.014460
-100.45795441,142.94487000,-74.83280182,-0.835539,0.184509,-0.517524
-100.21910095,133.25614929,-66.30406189,-0.754851,-0.581764,0.302902
-100.38720703,135.28123474,-71.31551361,-0.967006,0.038090,-0.251889
-100.33631134,145.04954529,-71.64260864,-0.837041,0.543441,-0.063519
-100.34480286,139.60464478,-73.29275513,-0.942371,-0.283946,-0.176952
-100.29841614,144.74571228,-67.52635193,-0.854147,0.382893,0.351890
-100.31343842,133.42170715,-73.33378601,-0.937434,0.304219,-0.169316
-100.11674500,145.29696655,-69.27101135,-0.812434,0.582683,0.020761
-100.04728699,135.36793518,-63.50182343,-0.806186,-0.424730,0.411908
-100.17086029,138.21478271,-72.48239136,-0.934571,-0.231191,-0.270423
-100.14675140,134.86273193,-72.51540375,-0.953825,0.173057,-0.245499
-100.14125061,135.82704163,-72.02395630,-0.950390,0.087347,-0.298545
-100.02106476,143.88685608,-65.93827820,-0.754774,0.578500,0.309281
-100.06552887,137.23287964,-62.70502472,-0.927209,-0.054076,0.370620
-100.00687408,130.67593384,-77.07264709,-0.793345,0.279169,-0.540989
-100.02790833,132.24613953,-75.79270172,-0.773075,0.476866,-0.418275
-100.01791382,136.95909119,-72.23923492,-0.961575,-0.046146,-0.270638
-100.01947021,139.15275574,-74.06681061,-0.916105,-0.329338,-0.228667
-99.89003754,138.87629700,-74.15576935,-0.925796,-0.283873,-0.249637
-99.93340302,134.81875610,-73.36641693,-0.949242,0.199626,-0.243082
-99.96495819,133.88330078,-74.08232880,-0.917884,0.304040,-0.255048
-99.94825745,142.47093201,-75.53369141,-0.583439,0.177305,-0.792567
-99.79719543,136.83135986,-62.23118591,-0.848074,-0.199635,0.490832
-99.64965057,128.54324341,-70.52223206,-0.567457,-0.638178,0.520309
-99.62834167,128.84373474,-70.16041565,-0.579999,-0.610436,0.539416
-99.91770935,143.39135742,-75.17401886,-0.474747,0.448463,-0.757295
-99.74823761,132.46894836,-76.01128387,-0.728369,0.479496,-0.489451
-99.66303253,137.68920898,-61.77473068,-0.866412,-0.045456,0.497257
-99.49687958,127.33721161,-73.42572784,-0.388419,-0.917215,0.088587
-99.65224457,136.05738831,-62.41992569,-0.732641,-0.357346,0.579259
-99.35745239,128.55798340,-70.24923706,-0.429674,-0.698427,0.572346
-99.47860718,128.44404602,-70.46598816,-0.490296,-0.681060,0.543844
-99.41532135,141.01992798,-61.66680527,-0.828462,0.162707,0.535888
-99.44210815,144.50805664,-74.61943054,-0.322392,0.617243,-0.717687
-99.42752075,141.78942871,-75.93085480,-0.300096,0.107083,-0.947880
-99.27648163,135.75138855,-62.22164536,-0.627949,-0.450449,0.634647
-99.38475037,142.74029541,-75.68363190,-0.117477,0.382835,-0.916317
-99.28798676,146.31105042,-71.87840271,-0.570377,0.782901,-0.248466
-99.37626648,136.32627869,-74.81630707,-0.945368,0.006244,-0.325946
-99.11989594,134.60296631,-63.15705490,-0.502015,-0.659839,0.559100
-99.21487427,133.44393921,-75.98661041,-0.772128,0.340123,-0.536782
-99.09150696,146.15415955,-66.72958374,-0.823925,0.496847,0.272565
-99.06010437,140.94543457,-61.15028381,-0.789007,0.113135,0.603877
-99.05662537,139.60824585,-75.76105499,-0.131644,-0.280574,-0.950762
-99.13472748,146.04418945,-66.66439819,-0.822336,0.484003,0.299174
-98.74654388,144.25028992,-63.55008698,-0.790666,0.491147,0.365542
-99.01123810,142.21101379,-75.88717651,0.138345,0.251657,-0.957877
-98.96305847,127.25389099,-74.73041534,-0.176820,-0.978072,-0.110049
-98.93135834,137.01647949,-61.06631470,-0.618388,-0.350800,0.703232
-98.85620117,146.08056641,-65.99420929,-0.855851,0.411734,0.313041
-99.00196075,138.41011047,-60.75845337,-0.721170,-0.136438,0.679189
-98.67885590,139.33369446,-75.65914154,0.203530,-0.249973,-0.946620
-98.78467560,144.68087769,-74.55615997,0.123371,0.652526,-0.747656
-98.76696014,143.65196228,-62.77433014,-0.784216,0.480231,0.392916
-98.61352539,129.30953979,-78.43510437,-0.063223,-0.402203,-0.913365
-98.53789520,145.44145203,-64.38399506,-0.897580,0.321942,0.301171
-98.52677917,139.66160583,-60.39538574,-0.625770,0.119828,0.770748
-98.54325867,146.19912720,-72.71059418,0.088864,0.867486,-0.489460
-98.60373688,143.65086365,-62.45653534,-0.831579,0.424468,0.358194
-98.25611877,138.78306580,-75.40309906,0.418083,-0.017038,-0.908249
-98.31582642,129.36650085,-78.45944214,0.049270,-0.400821,-0.914831
-98.57500458,147.14753723,-67.82232666,-0.730340,0.682310,0.032491
-98.29631805,130.98638916,-78.60727692,-0.128703,0.279963,-0.951344
-98.11386871,147.17755127,-70.09558105,-0.066889,0.962952,-0.261246
-98.33770752,142.14326477,-60.32240295,-0.899805,0.180539,0.397185
-98.28646088,143.37794495,-61.03281021,-0.913832,0.262963,0.309453
-98.09120941,147.61531067,-66.45338440,-0.677495,0.732388,0.067894
-98.01644897,143.15090942,-60.19929886,-0.884290,0.283753,0.370831
-98.10242462,146.98806763,-64.79632568,-0.832150,0.449769,0.324398
-97.79234314,139.80436707,-59.77276993,-0.731093,-0.120608,0.671533
-98.06298828,138.34339905,-75.32635498,0.460039,0.061796,-0.885746
-97.96357727,143.65042114,-74.78634644,0.534441,0.317474,-0.783315
-97.93871307,129.23275757,-69.70505524,0.556548,-0.563315,0.610681
-97.93391418,141.26193237,-75.30110168,0.637238,0.015271,-0.770516
